;NB: Only BLUE CELLS are editable!;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Star Mass;1,072;Msol;ℹ;2,13221E+30;kg;;;;;;;;;;;;;;;;;;;
;Star Radius;1,040;Rsol;ℹ;724 490;km;;;;;;;;;;;;;;;;;;;
;Star Luminosity;1,321;Lsol;ℹ;5,05535E+26;W;;;;;;;;;;;;;;;;;;;
;Habitable Zone (Inner);1,096;AU;ℹ;163,92;million km;;;;;;;;;;;;;;;;;;;
;Habitable Zone (Outer);1,579;AU;ℹ;236,15;million km;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;TERRESTRIAL PLANET PHYSICAL CHARACTERISTICS;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Mass;1,150;MEarth;ℹ;6,8678E+24;kg;;;;;;;;;;;;;;;;;;;
;CMF;31;%;ℹ;;;;;;;;;;;;;;;;;;;;;
;Density;5,58;g/cm³;ℹ;;;;;;;;;;;;;;;;;;;;;
;Radius;1,044;REarth;ℹ;6648,74;km;;;;;;;;;;;;;;;;;;;
;Gravity;1,056;g;ℹ;10,359;m/s²;;;;;;;;;;;;;;;;;;;
;Escape Velocity;1,050;VEarth;ℹ;11,74;km/s;;;;;;;;;;;;;;;;;;;
;Axial Tilt;23,1;º;ℹ;;;;;;;;;;;;;;;;;;;;;
;Rotation Direction;Prograde;;ℹ;;;;;;;;;;;;;;;;;;;;;
;Tropics;0 - 23,1;º N/S;ℹ;;;;;;;;;;;;;;;;;;;;;
;Polar Circles;66,9 - 90;º N/S;ℹ;;;;;;;;;;;;;;;;;;;;;
;Albedo (Bond);0,36;;ℹ;;;;;;;;;;;;;;;;;;;;;
;Greenhouse Effect;1;;ℹ;;;;;;;;;;;;;;;;;;;;;
;Surface Temperature (Avg.);286;K;ℹ;13;ºC;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Distance to Horizon;;;;;;;;;;;;;;;;;;;;;;;;
;Height of Observer;1,75;m;ℹ;;;;;;;;;;;;;;;;;;;;;
;Horizon Distance;4,82;km;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;TERRESTRIAL PLANET ORBITAL CHARACTERISTICS;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Rotation Period;26;Earth hrs;ℹ;;;;;;;;;;;;;;;;;;;;;
;Semi-Major axis;1,1;AU;ℹ;164,56;million km;;;;;;;;;;;;;;;;;;;
;Eccentricity;0,0167;;ℹ;;;;;;;;;;;;;;;;;;;;;
;Periapsis;1,082;AU;ℹ;161,81;million km;;;;;;;;;;;;;;;;;;;
;Apoapsis;1,118;AU;ℹ;167,31;million km;;;;;;;;;;;;;;;;;;;
;Orbital Period;1;local year;ℹ;1,114;Earth yrs;;;;;;;;;;;;;;;;;;;
;;375,688;local days;ℹ;406,995;Earth days;;;;;;;;;;;;;;;;;;;
;Inclination;0;º;ℹ;;;;;;;;;;;;;;;;;;;;;
;Orbital direction;Prograde;;ℹ;;;;;;;;;;;;;;;;;;;;;
;Longitude of Periapsis;283;º;ℹ;;;;;;;;;;;;;;;;;;;;;
;Subsolar Longitude;0;º;ℹ;;;;;;;;;;;;;;;;;;;;;
;Daylight Hours & Solar Events;;;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;TERRESTRIAL PLANET ATMOSPHERIC CHARACTERISTICS;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Atmospheric Pressure & Composition;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Atmospheric Pressure;1;atm;ℹ;101,3;kPa;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;GAS;%;PP (atm);;;;;;;;;;;;;;;;;;;;;;
;Oxygen (O2);20,95;0,2095;ℹ;21,22;kPa;;;;;;;;;;;;;;;;;;;
;Carbon Dioxide (CO2);0,04;0,0004;ℹ;0,041;kPa;;;;;;;;;;;;;;;;;;;
;Argon (Ar);0,93;0,0093;ℹ;0,94;kPa;;;;;;;;;;;;;;;;;;;
