;NB: Only BLUE CELLS are editable!;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Gravity;1;g;ℹ;9,81;m/s²;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;MOUNTAINS;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Max Peak Height;9267;m;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Active Mountain Range Characteristics;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Type;Andean;;ℹ;;;;;;;;;;;;;;;;;;;;;
;Scaling Factor;2;;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;0;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;ℹ;Height (m);Height Range (m);;;;Width (km);Width Range (km);;;;;;;;;;;;;;;;;
;Outer-Arc Ridge;1500;200 - 1500;;;;100;0 - 100;;;;;;;;;;;;;;;;;
;Forearc Basin;500;0 - 500;;;;150;20 - 250;;;;;;;;;;;;;;;;;
;Fore Slope;;Tapering;;;;100;30 - 100;;;;;;;;;;;;;;;;;
;Plateau;6000;1000 - 6000;;;;200;0 - 200;;;;;;;;;;;;;;;;;
;Back Slope;;Tapering;;;;200;30 - 200;;;;;;;;;;;;;;;;;
;Back Arc;800;500 - 800;;;;;∞;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Inactive Mountain Range Characteristics;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Erosion Rate;5;m/Myr;ℹ;;;;;;;;;;;;;;;;;;;;;
;Age;50;Myr;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;ℹ;Height (m);Width (km);;;;;;;;;;;;;;;;;;;;;;
;Outer-Arc Ridge;1250;100;;;;;;;;;;;;;;;;;;;;;;
;Forearc Basin;250;150;;;;;;;;;;;;;;;;;;;;;;
;Fore Slope;Tapering;100;;;;;;;;;;;;;;;;;;;;;;
;Plateau;5750;200;;;;;;;;;;;;;;;;;;;;;;
;Back Slope;Tapering;200;;;;;;;;;;;;;;;;;;;;;;
;Back Arc;550;∞;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;OCEANS;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Ocean Depth Calculator;;;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Avg. Height Mid-Ocean Ridge;2600;m;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Ocean Crust Age;Ocean Depth;;;;;;;;;;;;;;;;;;;;;;;
;0;2600;m;;;;;;;;;;;;;;;;;;;;;;
;10;3707;m;;;;;;;;;;;;;;;;;;;;;;
;20;4165;m;;;;;;;;;;;;;;;;;;;;;;
;30;4494;m;;;;;;;;;;;;;;;;;;;;;;
;40;4775;m;;;;;;;;;;;;;;;;;;;;;;
;50;5014;m;;;;;;;;;;;;;;;;;;;;;;
;100;5775;m;;;;;;;;;;;;;;;;;;;;;;
;150;6118;m;;;;;;;;;;;;;;;;;;;;;;
;200;6273;m;;;;;;;;;;;;;;;;;;;;;;
;250;6343;m;;;;;;;;;;;;;;;;;;;;;;
;300;6374;m;;;;;;;;;;;;;;;;;;;;;;
;350;6388;m;;;;;;;;;;;;;;;;;;;;;;
;400;6395;m;;;;;;;;;;;;;;;;;;;;;;
;450;6398;m;;;;;;;;;;;;;;;;;;;;;;
;500;6399;m;;;;;;;;;;;;;;;;;;;;;;
;600;6400;m;;;;;;;;;;;;;;;;;;;;;;
;700;6400;m;;;;;;;;;;;;;;;;;;;;;;
;800;6400;m;;;;;;;;;;;;;;;;;;;;;;
;900;6400;m;;;;;;;;;;;;;;;;;;;;;;
;1000;6400;m;;;;;;;;;;;;;;;;;;;;;;
