;NB: Only BLUE CELLS are editable!;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Star Mass;1,072;Msol;ℹ;2,13221E+30;kg;;;;;;;;;;;;;;;;;;;
;Star Radius;1,040;Rsol;ℹ;724 490;km;;;;;;;;;;;;;;;;;;;
;Star Luminosity;1,321;Lsol;ℹ;5,05535E+26;W;;;;;;;;;;;;;;;;;;;
;Star Age;4,541;Gyr;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Planet Mass;1,150;MEarth;ℹ;6,8678E+24;kg;;;;;;;;;;;;;;;;;;;
;Planet CMF;31;%;ℹ;;;;;;;;;;;;;;;;;;;;;
;Planet Density;5,58;g/cm³;ℹ;;;;;;;;;;;;;;;;;;;;;
;Planet Radius;1,044;REarth;ℹ;6648,74;km;;;;;;;;;;;;;;;;;;;
;Planet Gravity;1,056;g;ℹ;10,359;m/s²;;;;;;;;;;;;;;;;;;;
;Planet Semi-Major Axis;1,1;AU;ℹ;164,56;millon km;;;;;;;;;;;;;;;;;;;
;Planet Eccentricity;0,0167;;ℹ;;;;;;;;;;;;;;;;;;;;;
;Planet Periapsis;1,08163;AU;ℹ;161,81;million km;;;;;;;;;;;;;;;;;;;
;Planet Orbital Period;406,995;Earth Days;ℹ;;;;;;;;;;;;;;;;;;;;;
;Planet Rotation Period;26;Earth Hrs;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;MAJOR MOON PHYSICAL CHARACTERISTICS;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Mass;1;MMoon;ℹ;7,35E+22;kg;;;;;;;;;;;;;;;;;;;
;Density;5,34;g/cm³;ℹ;;;;;;;;;;;;;;;;;;;;;
;Radius;0,855;RMoon;ℹ;1485,83;km;;;;;;;;;;;;;;;;;;;
;Gravity;0,226;g;ℹ;2,22;m/s²;;;;;;;;;;;;;;;;;;;
;Escape Velocity;2,574;km/s;ℹ;;;;;;;;;;;;;;;;;;;;;
;Albedo;0,136;;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;MAJOR MOON ORBITAL CHARACTERISTICS;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Moon Zone (Inner);16 457,612;km;ℹ;;;;;;;;;;;;;;;;;;;;;
;Moon Zone (Outer);1 689 085,482;km;ℹ;;;;;;;;;;;;;;;;;;;;;
;Semi-Major Axis;384 748,00;km;ℹ;;;;;;;;;;;;;;;;;;;;;
;Eccentricity;0,055;;ℹ;;;;;;;;;;;;;;;;;;;;;
;Periapsis;363 586,860;km;ℹ;;;;;;;;;;;;;;;;;;;;;
;Apoapsis;405 909,140;km;ℹ;;;;;;;;;;;;;;;;;;;;;
;Inclination;5,15;º;ℹ;;;;;;;;;;;;;;;;;;;;;
;Orbital Direction;Prograde;;ℹ;;;;;;;;;;;;;;;;;;;;;
;Orbital Period (sidereal);25,506;Earth days;ℹ;;;;;;;;;;;;;;;;;;;;;
;Orbital Period (synodic);27,212;Earth days;ℹ;;;;;;;;;;;;;;;;;;;;;
;Rotation Period;27,212;Earth days;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;TIDES CALCULATOR;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Total Tidal Force;1,08;Earth Tides;ℹ;;;;;;;;;;;;;;;;;;;;;
;Moon Contribution;73;%;ℹ;;;;;;;;;;;;;;;;;;;;;
;Star Contribution;27;%;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Moon locked to Planet?;Yes;;ℹ;;;;;;;;;;;;;;;;;;;;;
;Planet locked to Moon?;#ЗНАЧ!;;ℹ;;;;;;;;;;;;;;;;;;;;;
;Planet locked to Star?;No;;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
